번호,자전거보관소명,소재지도로명주소,소재지지번주소,위도,경도,보관대수,설치연도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
1,중앙초등학교 입구,경상북도 경산시 중앙초등길 9,,35.8233583,128.7315125,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
2,경북약국 앞,경상북도 경산시 중앙로 195 용이비인후과,,35.823089,128.735681,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
3,랜드로바 앞,경상북도 경산시 중앙로 56,,35.8219703,128.7333314,5,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
4,김정문알로에 및 빈폴 앞,경상북도 경산시 중앙로 14길 3,,35.8222234,128.7344078,5,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
5,중방네거리 버스승강장 옆,경상북도 경산시 중방로,,35.8301083,128.7356625,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
6,중방동 871번지(와일드로즈앞),경상북도 경산시 경안로 259,,35.830578,128.735382,5,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
7,아놀드바시니 앞,경상북도 경산시 중앙로 68,,35.8228552,128.7343563,5,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
8,시청1,경상북도 경산시 남매로 159,,35.825091,128.741201,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
9,시청2,경상북도 경산시 남매로 159,,35.825091,128.741201,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
10,시청3,경상북도 경산시 남매로 159,,35.825091,128.741201,10,2013,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
11,시청4,경상북도 경산시 남매로 159,,35.825091,128.741201,10,2013,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
12,시청5,경상북도 경산시 남매로 159,,35.825091,128.741201,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
13,하양읍 금락리 237-6(대가대 승강장 옆2),경상북도 경산시 하양읍 금락리 237-6,,35.906798,128.8107017,10,2016,기타,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
14,남천면 신석리 258-4,경상북도 경산시 남천면 신석리 258-4,,35.7764381,128.7213212,5,2017,기타,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
15,사정동 86-7(성암생활체육관),경상북도 경산시 사정동 86-7,,35.81750416,128.7275071,9,2017,기타,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
16,옥곡동 88-1(공영주차장),경상북도 경산시 옥곡동 88-1,,35.81458439,128.7281408,10,2018,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
17,지하철임당역1번 출구 앞,경상북도 경산시 대학로 170,,35.8342393,128.7406392,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
18,지하철임당역2번 출구 앞,경상북도 경산시 대학로 170,,35.8339558,128.7406392,20,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
19,지하철임당역4번 출구 앞,경상북도 경산시 대학로 170,,35.8337671,128.7413265,20,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
20,지하철임당역5번 출구 앞,경상북도 경산시 대학로 170,,35.833967,128.741689,20,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
21,지하철임당역6번 출구 앞,경상북도 경산시 대학로 170,,35.834251,128.741639,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
22,대림e편한세상 앞,경상북도 경산시 대학로32길,,35.831601,128.7386139,18,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
23,지하철 임당역3번출구 앞,경상북도 경산시 대학로 170,,35.8337749,128.7409939,10,2013,기타,Y,Y,태양광식,N,053-810-6128,경상북도 경산시청,2020-12-07
24,지하철 임당역2번 출구 앞,경상북도 경산시 대학로 170,,35.8339558,128.7406392,10,2013,거치형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
25,경산시장내 주차타워 앞,경상북도 경산시 경안로 29길,,35.820248,128.736301,18,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
26,현대밀레몰 앞,경상북도 경산시 강변동로 51-6,,35.8254939,128.7310536,35,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
27,임당환승주차장,,경상북도 경산시 임당동 875,35.8352287,128.7415418,50,2015,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
28,동서리 831번지 버스승강장,경상북도 경산시 하양읍 대학로 296길 9-12,,35.910135,128.8250067,7,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
29,대학리 86번지 진성식품 맞은편,경상북도 경산시 하양읍 용정길2,,35.931876,128.828512,11,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
30,대조리885-4 도로변 버스승강장 옆,경상북도 경산시 하양읍 화성로 171 화양초등학교화성분교,,35.8873901,128.7931093,10,2012,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
31,대구가톨릭대학교 앞,경상북도 경산시 하양읍 하양로 13-13,,35.912174,128.807588,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
32,하양시외버스터미널맞은편 승강장,경상북도 경산시 하양로 34,,35.9089367,128.8136413,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
33,하양역승강장(하양고시원 옆),경상북도 경산시 하양로 58,,35.910405,128.815551,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
34,대구은행하양지점,경상북도 경산시 대학로 1517,,35.913415,128.821238,10,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
35,남하2리 승강장 옆,경상북도 경산시 하양읍 사열길 21,,35.890849,128.777601,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
36,하양읍사무소 내,경상북도 경산시 문화로 36,,35.9123593,128.8123915,9,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
37,하양읍사무소 뒤,경상북도 경산시 문화로 36,,35.9123593,128.8123915,9,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
38,금락리133-43(하양역광장 내),경상북도 경산시 하양읍 하양역길 1,,35.9099795,128.8185005,20,2013,기타,Y,Y,태양광식,N,053-810-6128,경상북도 경산시청,2020-12-07
39,환상리 410-1(환상2리새마을회관 내),경상북도 경산시 하양읍 환상3길 6,,35.8803582,128.7859002,10,2013,기타,Y,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
40,동서리555-2(한국전력앞 승강장 옆),경상북도 경산시 하양로 158,,35.9167652,128.8230945,5,2013,휀스형,N,N,,N,053-810-6128,경상북도 경산시청,2020-12-07
