번호,위치,위도,경도,타입,관리기관,전화번호
1,중구 계산동2가 신성미소시티(건강보험심사평가원) 옆 자전거보관대,35.8668528,128.5887515,태양광,중구청,053-661-2885
2,중구 공평동 2.28기념중앙공원 북서편 자전거보관대,35.8698526,128.5977784,수동식,중구청,053-661-2885
3,중구 남산동 남산역(3호선) 자전거보관대 2번출구 옆 자전거보관대,35.856659,128.583431,수동식,중구청,053-661-2885
4,중구 남산동 남산휴먼시아1단지 옆 자전거수리센터(남산로17길 69),35.8628531,128.5788359,수동식,중구청,053-661-2885
5,중구 남산동 명덕역(3호선) 2번출입구 뒤 자전거보관대,35.858145,128.591241,수동식,중구청,053-661-2885
6,중구 남산동 신남역(3호선) 3번출입구 뒤 자전거보관대,35.865051,128.582911,수동식,중구청,053-661-2885
7,중구 남산동 신남역(3호선) 6번출입구 옆 자전거보관대,35.865051,128.582911,수동식,중구청,053-661-2885
8,중구 달성동 달성공원 앞 자전거보관대,35.874004,128.5780991,태양광,중구청,053-661-2885
9,중구 달성동 달성공원역(3호선) 2번출입구 뒤 자전거보관대,35.8757248,128.5820011,수동식,중구청,053-661-2885
10,중구 대봉동 건들바위역(3호선) 4번출입구 뒤 자전거보관대,35.85541,128.599707,수동식,중구청,053-661-2885
11,중구 대봉동 경대병원역 4번출입구(세기헬스마트 앞 자전거보관대),35.8632147,128.6039169,태양광,중구청,053-661-2885
12,중구 대봉동 대봉교역(3호선) 1번출입구 뒤 자전거보관대,35.855004,128.606347,수동식,중구청,053-661-2885
13,중구 대신동 서문시장역(3호선) 2번출입구 뒤 자전거보관대,35.869681,128.58224,수동식,중구청,053-661-2885
14,중구 덕산동 반월당역 12번출입구 뒤(덕산빌딩 앞),35.864592,128.593334,태양광,중구청,053-661-2885
15,중구 덕산동 반월당역 14번출입구(삼성생명빌딩 앞),35.864592,128.593334,태양광,중구청,053-661-2885
16,중구 동산동 서문시장역(3호선) 4번출입구 뒤 자전거보관대,35.869681,128.58224,수동식,중구청,053-661-2885
17,중구 동산동 신남역 9번출입구,35.865051,128.582911,태양광,중구청,053-661-2885
18,중구 동성로2가 올리브영 대구동성로점 앞 자전거보관대,35.8709966,128.5954662,태양광,중구청,053-661-2885
19,중구 동인동2가 중구청 내 주차장,35.8692838,128.6060779,태양광,중구청,053-661-2885
20,중구 동인동3가 신천둔치 자전거수리센터(동신교와 신천교 중간지점),35.8681587,128.6141658,태양광,중구청,053-661-2885
21,중구 사일동 롯데영프라자 앞 자전거보관대,35.8713246,128.5943342,태양광,중구청,053-661-2885
22,중구 삼덕동 대구동부교회 앞 자전거보관대,35.8627425,128.6066944,태양광,중구청,053-661-2885
23,중구 삼덕동1가 봉산육거리(수협은행대구지점 옆),35.8646144,128.5988295,태양광,중구청,053-661-2885
24,중구 수창동 달성공원역(3호선) 4번출입구 뒤 자전거보관대,35.8757248,128.5820011,수동식,중구청,053-661-2885
25,중구 중앙대로 398(현대캐피탈 빌당 앞),35.8685194,128.5939454,태양광,중구청,053-661-2885
26,중구 대봉1동(대봉1동주민센터),35.8616037,128.6043613,태양광,중구청,053-661-2885
27,동구 검사동 금호강 둔치(해맞이다리 밑),35.8850454,128.6491051,태양광,동구청,053-662-3014
28,동구 검사동 동촌역 자전거주차장 내,35.8867797,128.6487769,태양광,동구청,053-662-3014
29,동구 율하동 안심도서관 자전거보관대 옆,35.8590312,128.701814,태양광,동구청,053-662-3014
30,동구 신암동 동구청 내,35.8866013,128.6355799,태양광,동구청,053-662-3014
