번호,위치,위도,경도,관리기관,전화번호
1,안지랑역 2번출구,35.839076,128.573687,대구광역시 남구청,053-664-3018
2,성당못역 3번출구 서부정류장 앞,35.837044,128.557307,대구광역시 남구청,053-664-3018
3,성당못역 3번출구 동남편,35.8367855,128.5577515,대구광역시 남구청,053-664-3018
4,대명역 3번출구,35.8389521,128.5653048,대구광역시 남구청,053-664-3018
5,현충로역 4번출구,35.841139,128.581123,대구광역시 남구청,053-664-3018
6,현충로역 3번출구,35.8405658,128.5812962,대구광역시 남구청,053-664-3018
7,현충로역 2번출구,35.840315,128.5808162,대구광역시 남구청,053-664-3018
8,현충로역 1번출구,35.8407324,128.5804107,대구광역시 남구청,053-664-3018
9,영대병원역 2번출구,35.844325,128.588708,대구광역시 남구청,053-664-3018
10,영대병원역 3번출구,35.844766,128.588744,대구광역시 남구청,053-664-3018
11,대명역 4번출구,35.839566,128.565496,대구광역시 남구청,053-664-3018
12,안지랑역 4번출구,35.839513,128.574512,대구광역시 남구청,053-664-3018
13,안지랑역 1번출구,35.8396648,128.5737281,대구광역시 남구청,053-664-3018
14,안지랑역 3번출구 (정관장 앞),35.838936,128.5744147,대구광역시 남구청,053-664-3018
15,교대역 1번출구,35.850754,128.5903344,대구광역시 남구청,053-664-3018
16,교대역 2번 출구,35.850739,128.590777,대구광역시 남구청,053-664-3018
17,교대역 3번출구(성토마스성당앞),35.851167,128.590785,대구광역시 남구청,053-664-3018
18,대구교대 입구 우측편,35.853071,128.590341,대구광역시 남구청,053-664-3018
19,대구교대 입구 좌측편,35.8524011,128.590379,대구광역시 남구청,053-664-3018
20,새마을금고 대명3동 지점 앞,35.8587641,128.5766802,대구광역시 남구청,053-664-3018
21,명덕네거리 배달한의원 앞,35.856501,128.5932107,대구광역시 남구청,053-664-3018
22,성당못네거리 성주막창 앞,35.8383292,128.5583832,대구광역시 남구청,053-664-3018
23,국민은행 봉덕동 지점 앞,35.845134,128.5987106,대구광역시 남구청,053-664-3018
24,대명3동 행정복지센터,35.8523781,128.5791382,대구광역시 남구청,053-664-3018
25,NH농협은행 봉덕지점 앞,35.844714,128.604116,대구광역시 남구청,053-664-3018
26,이천동 주민센터 옆,35.8537053,128.599415,대구광역시 남구청,053-664-3018
27,대명9동 주민센터 옆,35.837231,128.5790384,대구광역시 남구청,053-664-3018
28,다문화가정지원센터,35.8417075,128.598279,대구광역시 남구청,053-664-3018
29,남구청 청사내,35.845792,128.5977724,대구광역시 남구청,053-664-3018
30,대명5동 주민센터,35.8432344,128.587828,대구광역시 남구청,053-664-3018
31,대명2동 주민센터,35.8552846,128.586457,대구광역시 남구청,053-664-3018
32,대명10동 주민센터,35.84002858,128.5689557,대구광역시 남구청,053-664-3018
33,충혼탑 주차장 주변,35.832923,128.585007,대구광역시 남구청,053-664-3018
34,영남불교대학 앞,35.8440849,128.5908376,대구광역시 남구청,053-664-3018
35,성당시장 공영주차장 옆,35.8495281,128.5736995,대구광역시 남구청,053-664-3018
36,고산골 입구 상동교 근처,35.8338982,128.604992,대구광역시 남구청,053-664-3018
37,고산골 공영주차장 앞,35.8300041,128.603449,대구광역시 남구청,053-664-3018
38,고산골 등산로 입구,35.826033,128.602996,대구광역시 남구청,053-664-3018
39,고산골 맨발산책로 입구,35.832498,128.597372,대구광역시 남구청,053-664-3018
40,상동교 하부(좌측 신천둔지),35.834761,128.605523,대구광역시 남구청,053-664-3018
41,상동교 아래(우측 신천둔지),35.834761,128.605523,대구광역시 남구청,053-664-3018
42,중동교 하단,35.841285,128.606826,대구광역시 남구청,053-664-3018
43,희망교 하단,35.847437,128.606208,대구광역시 남구청,053-664-3018
44,앞산힐스테이트 옆,35.840746,128.600294,대구광역시 남구청,053-664-3018
45,앞산힐스테이트 맞은편,35.841138,128.6021112,대구광역시 남구청,053-664-3018
46,봉덕로 카페봉덕 앞,35.845324,128.5955971,대구광역시 남구청,053-664-3018
47,봉덕로 오늘아침잡은 소 앞,35.845233,128.594609,대구광역시 남구청,053-664-3018
48,남구보건소 앞,35.8538161,128.5918331,대구광역시 남구청,053-664-3018
49,명덕역 하단,35.856761,128.590163,대구광역시 남구청,053-664-3018
50,건들바위역 하단,35.855224,128.599781,대구광역시 남구청,053-664-3018
51,대봉교역 하단,35.854789,128.6063206,대구광역시 남구청,053-664-3018
