번호,위치,위도,경도,호선,역코드,대여시간,반납시간
1,설화명곡역,35.798718,128.489318,1,115,06:00~18:00,20:00
2,화원역,35.804357,128.500404,1,116,06:00~18:00,20:00
3,대곡역,37.631957,126.8102965,1,117,06:00~18:00,20:00
4,진천역,35.813816,128.522578,1,118,06:00~18:00,20:00
5,월배역,35.816266,128.530572,1,119,06:00~18:00,20:00
6,월촌역,35.823899,128.5458331,1,121,06:00~18:00,20:00
7,서부정류장역,35.83726669,128.5572289,1,123,06:00~18:00,20:00
8,현충로역,35.840899,128.581375,1,127,06:00~18:00,20:00
9,영대병원역,35.844269,128.588251,1,128,06:00~18:00,20:00
10,명덕역,35.858145,128.591241,1,130,06:00~18:00,20:00
11,칠성시장역,35.876078,128.6052165,1,133,06:00~18:00,20:00
12,신천역,35.87462061,128.6175852,1,134,06:00~18:00,20:00
13,동대구역,35.87742092,128.6276157,1,135,06:00~18:00,20:00
14,동구청역,35.8843918,128.6321996,1,136,06:00~18:00,20:00
15,아양교역,35.887195,128.639859,1,137,06:00~18:00,20:00
16,동촌역,35.88607189,128.6502389,1,138,06:00~18:00,20:00
17,해안역,35.883514,128.659854,1,139,06:00~18:00,20:00
18,율하역,35.869577,128.693037,1,142,06:00~18:00,20:00
19,신기역,35.866729,128.701689,1,143,06:00~18:00,20:00
20,반야월역,35.865969,128.713561,1,144,06:00~18:00,20:00
21,각산역,35.868043,128.724457,1,145,06:00~18:00,20:00
22,문양역,35.86412522,128.4369661,2,216,06:00~18:00,20:00
23,대실역,35.857339,128.465605,2,218,06:00~18:00,20:00
24,강창역,35.853091,128.4780687,2,219,06:00~18:00,20:00
25,계명대역,35.851474,128.491956,2,220,06:00~18:00,20:00
26,성서산업단지역,35.851824,128.50635,2,221,06:00~18:00,20:00
27,이곡역,35.850577,128.516449,2,222,06:00~18:00,20:00
28,용산역,37.5298837,126.9648019,2,223,06:00~18:00,20:00
29,감삼역,35.854327,128.548085,2,225,06:00~18:00,20:00
30,두류역,35.8570894,128.5558608,2,226,06:00~18:00,20:00
31,반월당역,35.86558732,128.5929889,2,230,06:00~18:00,20:00
32,경대병원역,35.863085,128.603381,2,231,06:00~18:00,20:00
33,대구은행역,35.859769,128.614151,2,232,06:00~18:00,20:00
34,범어역,35.859028,128.626851,2,233,06:00~18:00,20:00
35,만촌역,35.85891,128.644982,2,235,06:00~18:00,20:00
36,연호역,35.84692144,128.6711659,2,237,06:00~18:00,20:00
37,대공원역,37.435733,127.006489,2,238,06:00~18:00,20:00
38,고산역,35.84295936,128.6931048,2,239,06:00~18:00,20:00
39,신매역,35.840875,128.704889,2,240,06:00~18:00,20:00
40,사월역,35.836976,128.715623,2,241,06:00~18:00,20:00
41,정평역,35.83408,128.728663,2,242,06:00~18:00,20:00
42,임당역,35.83412,128.741061,2,243,06:00~18:00,20:00
43,영남대역,35.836348,128.752962,2,244,06:00~18:00,20:00
